timestamp,trial_number,stimulus_code,condition,erd_value
2025-09-30 11:28:47,94,7,blank,-0.38008039319372455
2025-09-30 11:28:47,95,3,middle,-0.6195814595558085
2025-09-30 11:28:47,96,3,middle,-3.182025538961053
2025-09-30 11:28:47,97,7,blank,-1.7994559543175708
2025-09-30 11:28:47,98,6,sixth,0.7201028143132537
2025-09-30 11:28:47,99,7,blank,-0.03935401568224145
2025-09-30 11:28:47,100,4,ring,-1.658385075303761
2025-09-30 11:28:47,101,7,blank,-1.0141149851206266
2025-09-30 11:28:47,102,6,sixth,-3.4490701614594883
2025-09-30 11:28:47,103,7,blank,1.1682949593800303
2025-09-30 11:28:47,104,1,thumb,-3.0899346669108794
2025-09-30 11:28:47,105,6,sixth,-3.2153330413922387
2025-09-30 11:28:47,106,7,blank,3.2853869218158174
2025-09-30 11:28:47,107,6,sixth,-0.5375678240426108
2025-09-30 11:28:47,108,7,blank,3.6615061982670145
2025-09-30 11:28:47,109,6,sixth,-2.195942124061689
2025-09-30 11:28:47,110,1,thumb,-3.060484854638391
2025-09-30 11:28:47,111,7,blank,1.794440353322792
2025-09-30 11:28:47,112,6,sixth,-2.881572476046204
2025-09-30 11:28:47,113,7,blank,-0.9862635745751804
2025-09-30 11:28:47,114,2,index,-0.9457942588520456
2025-09-30 11:28:47,115,6,sixth,-1.9242907940624199
2025-09-30 11:28:47,116,7,blank,-2.894901916235967
2025-09-30 11:28:47,117,6,sixth,-2.0403725635398495
2025-09-30 11:28:47,118,7,blank,-1.6527113322399036
2025-09-30 11:28:47,119,6,sixth,-1.686383118777568
2025-09-30 11:28:47,120,7,blank,-1.7358947786083037
2025-09-30 11:28:47,121,2,index,1.0262782338877847
2025-09-30 11:28:47,122,3,middle,-5.818536802566722
2025-09-30 11:28:47,123,5,pinky,-2.3268306551995073
2025-09-30 11:28:47,124,6,sixth,-2.7005033820062554
2025-09-30 11:28:47,125,7,blank,3.0637569320244156
2025-09-30 11:28:47,126,4,ring,-1.2875143824868451
2025-09-30 11:28:47,127,6,sixth,-6.2310384114334845
2025-09-30 11:28:47,128,2,index,-0.4309653785585126
2025-09-30 11:28:47,129,5,pinky,-1.958739446280525
2025-09-30 11:28:47,130,6,sixth,-4.401665166568813
2025-09-30 11:28:47,131,1,thumb,1.6701820335532527
2025-09-30 11:28:47,132,6,sixth,-3.048491861995423
2025-09-30 11:28:47,133,7,blank,-2.2069979354924367
2025-09-30 11:28:47,134,5,pinky,-3.217915487328112
2025-09-30 11:28:47,135,7,blank,0.3901106409322172
