block,trial,phase,finger,startTime,endTime,duration
1,1,ME,thumb,523680.5302554,523690.497041338,9.96678593801335
1,2,ME,index,523700.5176853,523710.497179038,9.97949373803567
2,1,MI,sixth,523724.9710311,523734.947456438,9.97642533801263
2,2,MI,thumb,523744.9629216,523754.947497238,9.98457563802367
